address,city,state,zip_code
25-01 Jackson Avenue,Long Island City,NY,11101
30-30 47th Avenue,Long Island City,NY,11101
28-07 Jackson Avenue,Long Island City,NY,11101
28-11 Queens Plaza North,Long Island City,NY,11101
31-00 47th Avenue,Long Island City,NY,11101
